distance,herding_time,coefficients_of_horses,grazing_time,num_mares,stallion_speed,herding_start,herding_end,num_significant_timesteps,true_positives,false_positives,false_negatives,precision,recall,f1_score
0.5,200,1.0,1500,6,0.2,550,750,34,34,0,167,1.0,0.17,0.2905982905982906
0.5,200,1.0,1500,6,0.5,343,543,22,22,0,179,1.0,0.11,0.19819819819819817
0.5,200,1.0,1500,6,1.0,1207,1407,22,22,0,179,1.0,0.11,0.19819819819819817
0.5,200,1.0,1500,8,0.2,1209,1409,53,53,0,148,1.0,0.265,0.41897233201581024
0.5,200,1.0,1500,8,0.5,494,694,26,26,0,175,1.0,0.13,0.23008849557522126
0.5,200,1.0,1500,8,1.0,229,429,21,21,0,180,1.0,0.105,0.19004524886877827
0.5,200,1.0,2500,4,0.2,200,400,55,55,0,146,1.0,0.275,0.4313725490196079
0.5,200,1.0,2500,4,0.5,543,743,23,23,0,178,1.0,0.115,0.2062780269058296
0.5,200,1.0,2500,4,1.0,2398,2598,26,26,0,175,1.0,0.13,0.23008849557522126
0.5,200,1.0,2500,6,0.2,273,473,107,107,0,94,1.0,0.535,0.6970684039087948
0.5,200,1.0,2500,6,0.5,1065,1265,25,25,0,176,1.0,0.125,0.2222222222222222
0.5,200,1.0,2500,6,1.0,1382,1582,33,33,0,168,1.0,0.165,0.2832618025751073
0.5,200,1.0,2500,8,0.2,1857,2057,80,80,0,121,1.0,0.4,0.5714285714285715
0.5,200,1.0,2500,8,0.5,2128,2328,42,42,0,159,1.0,0.21,0.34710743801652894
0.5,200,1.0,2500,8,1.0,1468,1668,26,26,0,175,1.0,0.13,0.23008849557522126
0.5,300,0.1,500,4,0.2,481,781,4,4,0,297,1.0,0.013333333333333334,0.02631578947368421
0.5,300,0.1,500,4,0.5,289,589,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.1,500,4,1.0,300,600,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.1,500,6,0.2,87,387,0,0,0,301,0.0,0.0,0.0
0.5,300,0.1,500,6,0.5,128,428,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.1,500,6,1.0,280,580,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,0.1,500,8,0.2,430,730,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.1,500,8,0.5,380,680,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,0.1,500,8,1.0,392,692,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,0.1,1500,4,0.2,713,1013,13,13,0,288,1.0,0.043333333333333335,0.08306709265175719
0.5,300,0.1,1500,4,0.5,1073,1373,17,17,0,284,1.0,0.056666666666666664,0.10725552050473186
0.5,300,0.1,1500,4,1.0,626,926,17,17,0,284,1.0,0.056666666666666664,0.10725552050473186
0.5,300,0.1,1500,6,0.2,546,846,14,14,0,287,1.0,0.04666666666666667,0.089171974522293
0.5,300,0.1,1500,6,0.5,597,897,15,15,0,286,1.0,0.05,0.09523809523809523
0.5,300,0.1,1500,6,1.0,1102,1402,17,17,0,284,1.0,0.056666666666666664,0.10725552050473186
0.5,300,0.1,1500,8,0.2,359,659,30,30,0,271,1.0,0.1,0.18181818181818182
0.5,300,0.1,1500,8,0.5,962,1262,24,24,0,277,1.0,0.08,0.14814814814814814
0.5,300,0.1,1500,8,1.0,464,764,20,20,0,281,1.0,0.06666666666666667,0.125
0.5,300,0.1,2500,4,0.2,2083,2383,50,50,0,251,1.0,0.16666666666666666,0.2857142857142857
0.5,300,0.1,2500,4,0.5,220,520,25,25,0,276,1.0,0.08333333333333333,0.15384615384615385
0.5,300,0.1,2500,4,1.0,53,353,28,28,0,273,1.0,0.09333333333333334,0.17073170731707318
0.5,300,0.1,2500,6,0.2,1675,1975,50,50,0,251,1.0,0.16666666666666666,0.2857142857142857
0.5,300,0.1,2500,6,0.5,570,870,30,30,0,271,1.0,0.1,0.18181818181818182
0.5,300,0.1,2500,6,1.0,104,404,28,28,0,273,1.0,0.09333333333333334,0.17073170731707318
0.5,300,0.1,2500,8,0.2,469,769,74,74,0,227,1.0,0.24666666666666667,0.39572192513368987
0.5,300,0.1,2500,8,0.5,2011,2311,35,35,0,266,1.0,0.11666666666666667,0.208955223880597
0.5,300,0.1,2500,8,1.0,1781,2081,24,24,0,277,1.0,0.08,0.14814814814814814
0.5,300,0.5,500,4,0.2,219,519,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.5,500,4,0.5,341,641,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,0.5,500,4,1.0,52,352,4,4,0,297,1.0,0.013333333333333334,0.02631578947368421
0.5,300,0.5,500,6,0.2,77,377,9,9,0,292,1.0,0.03,0.058252427184466014
0.5,300,0.5,500,6,0.5,470,770,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.5,500,6,1.0,145,445,1,1,0,300,1.0,0.0033333333333333335,0.006644518272425249
0.5,300,0.5,500,8,0.2,349,649,0,0,0,301,0.0,0.0,0.0
0.5,300,0.5,500,8,0.5,172,472,2,2,0,299,1.0,0.006666666666666667,0.013245033112582783
0.5,300,0.5,500,8,1.0,64,364,3,3,0,298,1.0,0.01,0.019801980198019802
0.5,300,0.5,1500,4,0.2,1067,1367,15,15,0,286,1.0,0.05,0.09523809523809523
0.5,300,0.5,1500,4,0.5,299,599,15,15,0,286,1.0,0.05,0.09523809523809523
0.5,300,0.5,1500,4,1.0,264,564,16,16,0,285,1.0,0.05333333333333334,0.10126582278481014
0.5,300,0.5,1500,6,0.2,168,468,39,39,0,262,1.0,0.13,0.23008849557522126
0.5,300,0.5,1500,6,0.5,273,573,23,23,0,278,1.0,0.07666666666666666,0.14241486068111453
0.5,300,0.5,1500,6,1.0,941,1241,11,11,0,290,1.0,0.03666666666666667,0.0707395498392283
0.5,300,0.5,1500,8,0.2,1443,1743,64,64,0,237,1.0,0.21333333333333335,0.3516483516483517
0.5,300,0.5,1500,8,0.5,1170,1470,22,22,0,279,1.0,0.07333333333333333,0.13664596273291926
0.5,300,0.5,1500,8,1.0,44,344,29,29,0,272,1.0,0.09666666666666666,0.1762917933130699
